exp,samples,mix,day,strain,s9,dose,dose_value,n,mean_rev,sd_rev,se_rev
7,biotic,1,3,TA98,yes,b,25,2,34.5,7.7781745930520225,5.499999999999999
7,biotic,1,3,TA98,yes,c,13,2,37,0,0
7,biotic,1,3,TA98,yes,d,5,2,30,5.656854249492381,4
7,biotic,1,14,TA98,yes,a,50,2,37,4.242640687119285,2.9999999999999996
7,biotic,1,14,TA98,yes,b,25,2,31.5,6.363961030678928,4.5
7,biotic,1,14,TA98,yes,c,13,2,32,7.0710678118654755,5
7,biotic,1,14,TA98,yes,d,5,2,27.5,0.7071067811865476,0.5
7,biotic,2,3,TA98,yes,a,50,2,33,1.4142135623730951,1
7,biotic,2,3,TA98,yes,b,25,2,26,7.0710678118654755,5
7,biotic,2,3,TA98,yes,c,13,2,33,1.4142135623730951,1
7,biotic,2,3,TA98,yes,d,5,2,29,1.4142135623730951,1
7,biotic,2,14,TA98,yes,a,50,2,36.5,6.363961030678928,4.5
7,biotic,2,14,TA98,yes,b,25,2,34.5,0.7071067811865476,0.5
7,biotic,2,14,TA98,yes,c,13,2,31,5.656854249492381,4
7,biotic,2,14,TA98,yes,d,5,2,34.5,2.1213203435596424,1.4999999999999998
8,abiotic,1,14,TA100,no,a,50,2,60.5,10.606601717798213,7.5
8,abiotic,1,14,TA100,no,b,25,2,64.5,3.5355339059327378,2.5
8,abiotic,1,14,TA100,no,c,13,2,64.5,10.606601717798213,7.5
8,abiotic,1,14,TA100,no,d,5,2,67,4.242640687119285,2.9999999999999996
8,abiotic,2,14,TA100,no,a,50,2,56.5,4.949747468305833,3.4999999999999996
8,abiotic,2,14,TA100,no,b,25,2,66,8.48528137423857,5.999999999999999
8,abiotic,2,14,TA100,no,c,13,2,66.5,2.1213203435596424,1.4999999999999998
8,abiotic,2,14,TA100,no,d,5,2,58,11.313708498984761,8
8,biotic,1,3,TA100,no,a,50,2,45.5,3.5355339059327378,2.5
8,biotic,1,3,TA100,no,b,25,2,63,8.48528137423857,5.999999999999999
8,biotic,1,3,TA100,no,c,13,2,67,2.8284271247461903,2
8,biotic,1,3,TA100,no,d,5,2,62,7.0710678118654755,5
8,biotic,1,14,TA100,no,a,50,2,55,16.97056274847714,11.999999999999998
8,biotic,1,14,TA100,no,b,25,2,65.5,3.5355339059327378,2.5
8,biotic,1,14,TA100,no,c,13,2,74.5,4.949747468305833,3.4999999999999996
