samples,mix,day,strain,s9,endpoint,dose,dose_value,n,mean_rev,sd_rev,se_rev
abiotic,2,7,TA100,no,48 hr,b,25,2,23.5,4.949747468305833,3.4999999999999996
abiotic,2,7,TA100,no,48 hr,c,13,2,18.5,2.1213203435596424,1.4999999999999998
abiotic,2,7,TA100,no,48 hr,d,5,2,19.5,3.5355339059327378,2.5
abiotic,2,7,TA100,no,72 hr total,a,50,2,47,1.4142135623730951,1
abiotic,2,7,TA100,no,72 hr total,b,25,2,62,4.242640687119285,2.9999999999999996
abiotic,2,7,TA100,no,72 hr total,c,13,2,49.5,3.5355339059327378,2.5
abiotic,2,7,TA100,no,72 hr total,d,5,2,54.5,4.949747468305833,3.4999999999999996
abiotic,2,7,TA98,no,48 hr,a,50,2,16.5,0.7071067811865476,0.5
abiotic,2,7,TA98,no,48 hr,b,25,2,10,4.242640687119285,2.9999999999999996
abiotic,2,7,TA98,no,48 hr,c,13,2,18,2.8284271247461903,2
abiotic,2,7,TA98,no,48 hr,d,5,2,13,7.0710678118654755,5
abiotic,2,7,TA98,no,72 hr total,a,50,2,26,2.8284271247461903,2
abiotic,2,7,TA98,no,72 hr total,b,25,2,19.5,0.7071067811865476,0.5
abiotic,2,7,TA98,no,72 hr total,c,13,2,28,5.656854249492381,4
abiotic,2,7,TA98,no,72 hr total,d,5,2,24,7.0710678118654755,5
abiotic,2,7,TA98,yes,48 hr,a,50,2,30,1.4142135623730951,1
abiotic,2,7,TA98,yes,48 hr,b,25,2,32.5,4.949747468305833,3.4999999999999996
abiotic,2,7,TA98,yes,48 hr,c,13,2,28.5,0.7071067811865476,0.5
abiotic,2,7,TA98,yes,48 hr,d,5,2,26,2.8284271247461903,2
abiotic,2,7,TA98,yes,72 hr total,a,50,2,39,8.48528137423857,5.999999999999999
abiotic,2,7,TA98,yes,72 hr total,b,25,2,54,11.313708498984761,8
abiotic,2,7,TA98,yes,72 hr total,c,13,2,44,1.4142135623730951,1
abiotic,2,7,TA98,yes,72 hr total,d,5,2,39,8.48528137423857,5.999999999999999
biotic,1,7,TA100,no,48 hr,a,50,2,35.5,3.5355339059327378,2.5
biotic,1,7,TA100,no,48 hr,b,25,2,33,4.242640687119285,2.9999999999999996
biotic,1,7,TA100,no,48 hr,c,13,2,27,2.8284271247461903,2
biotic,1,7,TA100,no,48 hr,d,5,2,34.5,4.949747468305833,3.4999999999999996
biotic,1,7,TA100,no,72 hr total,a,50,2,75,14.142135623730951,10
biotic,1,7,TA100,no,72 hr total,b,25,2,62.5,6.363961030678928,4.5
biotic,1,7,TA100,no,72 hr total,c,13,2,54.5,7.7781745930520225,5.499999999999999
biotic,1,7,TA100,no,72 hr total,d,5,2,59.5,4.949747468305833,3.4999999999999996
biotic,1,7,TA98,no,48 hr,a,50,2,15.5,4.949747468305833,3.4999999999999996
biotic,1,7,TA98,no,48 hr,b,25,2,18,4.242640687119285,2.9999999999999996
biotic,1,7,TA98,no,48 hr,c,13,2,16.5,6.363961030678928,4.5
biotic,1,7,TA98,no,48 hr,d,5,2,15.5,3.5355339059327378,2.5
biotic,1,7,TA98,no,72 hr total,a,50,2,15.5,4.949747468305833,3.4999999999999996
biotic,1,7,TA98,no,72 hr total,b,25,2,18,4.242640687119285,2.9999999999999996
biotic,1,7,TA98,no,72 hr total,c,13,2,16.5,6.363961030678928,4.5
biotic,1,7,TA98,no,72 hr total,d,5,2,15.5,3.5355339059327378,2.5
biotic,1,7,TA98,yes,48 hr,a,50,2,21,4.242640687119285,2.9999999999999996
biotic,1,7,TA98,yes,48 hr,b,25,2,30,2.8284271247461903,2
biotic,1,7,TA98,yes,48 hr,c,13,2,24.5,4.949747468305833,3.4999999999999996
biotic,1,7,TA98,yes,48 hr,d,5,2,23.5,2.1213203435596424,1.4999999999999998
biotic,1,7,TA98,yes,72 hr total,a,50,2,34.5,4.949747468305833,3.4999999999999996
biotic,1,7,TA98,yes,72 hr total,b,25,2,41,5.656854249492381,4
biotic,1,7,TA98,yes,72 hr total,c,13,2,34.5,6.363961030678928,4.5
