exp,day,reactor,sample_type.x,avg_cfu,well,OD600,sample,meas,value,sample_type.y,tech_rep,strain,encapsulation_treat,alginate,coating,bio_rep,cell_loading
d,56,3,capsule,101250000,C1,0.65257,ms3a,mScarlet_g7,5192.6,mixsup,a,G7,encapsulated,two,no,C,low
d,56,4,capsule,119250000,D1,0.48076,ms4a,mVenus,11374,mixsup,a,G7,encapsulated,two,no,A,high
d,56,4,capsule,119250000,D1,0.48076,ms4a,mScarlet_g7,4507.3,mixsup,a,G7,encapsulated,two,no,A,high
d,56,5,capsule,100500000,E1,0.62414,ms5a,mVenus,12093,mixsup,a,G7,encapsulated,two,no,B,high
d,56,5,capsule,100500000,E1,0.62414,ms5a,mScarlet_g7,3848.5,mixsup,a,G7,encapsulated,two,no,B,high
d,56,6,capsule,240000000,F1,0.49141,ms6a,mVenus,12164,mixsup,a,G7,encapsulated,two,no,C,high
d,56,6,capsule,240000000,F1,0.49141,ms6a,mScarlet_g7,3699.9,mixsup,a,G7,encapsulated,two,no,C,high
d,56,13,capsule,0,E2,0.36841,ms13a,mVenus,434.44,mixsup,a,blank,encapsulated,two,no,,
d,56,13,capsule,0,E2,0.36841,ms13a,mScarlet_g7,12.438,mixsup,a,blank,encapsulated,two,no,,
d,56,14,capsule,42000000,F2,0.51449,ms14a,mVenus,16163,mixsup,a,blank,encapsulated,two,no,,
d,56,14,capsule,42000000,F2,0.51449,ms14a,mScarlet_g7,3332.3,mixsup,a,blank,encapsulated,two,no,,
a,56,1,capsule,450000000,A1,0.43454,ms1a,mVenus,12228,mixsup,a,G7,encapsulated,two,no,A,high
a,56,1,capsule,450000000,A1,0.43454,ms1a,mScarlet_g7,6028.5,mixsup,a,G7,encapsulated,two,no,A,high
a,56,2,capsule,817500000,B1,0.50308,ms2a,mVenus,9751.4,mixsup,a,G7,encapsulated,two,no,B,high
a,56,2,capsule,817500000,B1,0.50308,ms2a,mScarlet_g7,5157.1,mixsup,a,G7,encapsulated,two,no,B,high
a,56,3,capsule,138000000,C1,0.53241,ms3a,mVenus,10742,mixsup,a,G7,encapsulated,two,no,C,high
a,56,3,capsule,138000000,C1,0.53241,ms3a,mScarlet_g7,4862.4,mixsup,a,G7,encapsulated,two,no,C,high
a,56,4,capsule,682500000,D1,0.53354,ms4a,GFP,1167.7,mixsup,a,F199,encapsulated,two,no,A,high
a,56,4,capsule,682500000,D1,0.53354,ms4a,mScarlet_f199,222.75,mixsup,a,F199,encapsulated,two,no,A,high
a,56,5,capsule,660000000,E1,0.50564,ms5a,GFP,1096.3,mixsup,a,F199,encapsulated,two,no,B,high
a,56,5,capsule,660000000,E1,0.50564,ms5a,mScarlet_f199,201.94,mixsup,a,F199,encapsulated,two,no,B,high
a,56,6,capsule,772500000,F1,0.56288,ms6a,GFP,1094.1,mixsup,a,F199,encapsulated,two,no,C,high
a,56,6,capsule,772500000,F1,0.56288,ms6a,mScarlet_f199,138.25,mixsup,a,F199,encapsulated,two,no,C,high
a,56,13,capsule,0,E2,0.36943,ms13a,GFP,400.81,mixsup,a,blank,encapsulated,two,no,,
a,56,13,capsule,0,E2,0.36943,ms13a,mVenus,429.88,mixsup,a,blank,encapsulated,two,no,,
a,56,13,capsule,0,E2,0.36943,ms13a,mScarlet_g7,9.6875,mixsup,a,blank,encapsulated,two,no,,
a,56,13,capsule,0,E2,0.36943,ms13a,mScarlet_f199,8.5,mixsup,a,blank,encapsulated,two,no,,
a,56,14,capsule,0,F2,0.34935,ms14a,GFP,392.38,mixsup,a,blank,encapsulated,two,no,,
a,56,14,capsule,0,F2,0.34935,ms14a,mVenus,420.56,mixsup,a,blank,encapsulated,two,no,,
a,56,14,capsule,0,F2,0.34935,ms14a,mScarlet_g7,10.438,mixsup,a,blank,encapsulated,two,no,,
a,56,14,capsule,0,F2,0.34935,ms14a,mScarlet_f199,8.875,mixsup,a,blank,encapsulated,two,no,,
