"Assay","R.squared","Slope","Intercept","Low.95","LOD","LOQ","rep2.LOD","rep3.LOD","rep4.LOD","rep5.LOD","rep8.LOD"
"afaec",0.902138951755173,-2.9623286775775,36.038463321844,100,NA,76,NA,NA,NA,NA,NA
"npenta",0.918220773920209,-3.22017755034724,35.6885816141132,50,759571.440638734,759571.440638734,0.0722116035503436,1.22576382827321e-07,4.09585613314913e-12,1.01072784896576e-15,1.45433509879621e-23
"sphingo",0.840537348539301,-2.72873472176987,34.6311717143423,100,NA,6583,NA,NA,NA,NA,NA
"presin",0.548600231270401,-2.54902025144167,33.2118818873212,50,NA,50,NA,NA,NA,NA,NA
"",0.999471890108135,-2.6286960691088,33.8609303378636,50,NA,NA,NA,NA,NA,NA,NA
"avenet",0.0796469719415691,-0.444703287126856,27.1318977131276,50,NA,50,NA,NA,NA,NA,NA
"pput",0.962053474866085,-2.50603757411921,33.0865950986711,50,NA,50,NA,NA,NA,NA,NA
