"sample","Cq_raw","Cq_CPP"
"A1",NA,3.43702483591649
"A2",NA,10.3250428836165
"A3",NA,19.5616501974482
"A4",NA,14.2806780738062
"A5",NA,10.3010783486059
"A6",NA,15.4608766691689
"A7",NA,2.67633392419427
"A8",NA,2.62825093055343
"A9",NA,2.65234342824495
"A10",NA,34.8080411737661
"A11",NA,35.3024532218652
"A12",NA,34.8318605751448
"B1",NA,35.0336981218116
"B2",NA,34.490301448946
"B3",NA,35.2542176729111
"B4",NA,6.09964541229093
"B5",NA,22.0313346052326
"B6",NA,22.6330458981365
"B7",NA,12.6360353939712
"B8",NA,13.2447017879199
"B9",NA,3.76030902421457
"B10",NA,34.9134976994984
"B11",NA,8.36744779866066
"B12",NA,35.5689725925703
"C1",NA,12.3063043002451
"C2",NA,35.6364069113555
"C3",NA,32.5161992767358
"C4",NA,20.3128804560625
"C5",NA,20.5304471698692
"C6",NA,20.3905547692647
"C7",NA,4.66953427487599
"C8",NA,20.9378242262828
"C9",NA,12.1085751381483
"C10",NA,2.40758681430545
"C11",NA,8.67884824317276
"C12",NA,33.7867478409708
"D1",NA,17.8914641140097
"D2",NA,17.6309356221313
"D3",NA,14.1795721593055
"D4",NA,22.256274653045
"D5",NA,22.4780030621377
"D6",NA,14.9350270855848
"D7",NA,9.39460291839819
"D8",NA,14.3598961204466
"D9",NA,21.7088428948376
"D10",NA,35.2184963761922
"D11",NA,35.7655873846147
"D12",NA,2.94442337241167
"E1",NA,18.9667148321969
"E2",NA,19.1559722930704
"E3",NA,18.4982892072683
"E4",NA,13.5386738602352
"E5",NA,2.55170105074645
"E6",NA,13.2483995165869
"E7",NA,18.3346611907558
"E8",NA,18.5152404606149
"E9",NA,18.1522561537699
"E10",NA,36.0579169974263
"E11",NA,35.1314938953566
"E12",NA,35.4069690978753
"F1",NA,23.3825034686502
"F2",NA,24.1928050248085
"F3",NA,19.236694607361
"F4",NA,15.0160925100319
"F5",NA,15.0280297158657
"F6",NA,2.95348790196244
"F7",NA,18.5188828973755
"F8",NA,18.704758705272
"F9",NA,14.1978373371222
"F10",NA,27.3088540385137
"F11",NA,17.6432535655258
"F12",NA,15.958963253599
"G1",NA,23.5609152148096
"G2",NA,25.0839425604222
"G3",NA,23.0388614384116
"G4",NA,2.9964517398629
"G5",NA,8.43341523406025
"G6",NA,3.5065064074378
"G7",NA,18.3535025467934
"G8",NA,18.2886948291617
"G9",NA,5.93095258408948
"G10",NA,26.6411538563042
"G11",NA,9.18910090710675
"G12",NA,25.1812081061194
"H1",NA,2.76769686038525
"H2",NA,34.9340042748828
"H3",NA,24.0961155707454
"H4",NA,2.62266737831298
"H5",NA,2.64454898025923
"H6",NA,2.53145002308242
"H7",NA,34.9693194379271
"H8",NA,35.0456738510653
"H9",NA,35.0548343386404
"H10",NA,35.123463037208
"H11",NA,3.59401480187707
"H12",NA,2.93547912562977
