"sample","Cq_raw","Cq_CPP"
"A1",NA,35.003918358273
"A2",NA,34.9012409596068
"A3",NA,35.0213743881285
"A4",NA,17.1654920764282
"A5",NA,17.5188927466992
"A6",NA,17.3170429727467
"A7",NA,18.7446683578311
"A8",NA,13.1011537906092
"A9",NA,12.4091769305202
"A10",NA,2.80621509096288
"A11",NA,NA
"A12",NA,35.2326071107323
"B1",NA,34.5680534869489
"B2",NA,34.784889803032
"B3",NA,34.7457462236222
"B4",NA,18.9768981955123
"B5",NA,18.2597831589283
"B6",NA,17.2200111958804
"B7",NA,20.9766144996028
"B8",NA,20.11392362814
"B9",NA,19.2268545685607
"B10",NA,15.3891469747122
"B11",NA,17.8991163526051
"B12",NA,31.7576468370587
"C1",NA,34.7700290418177
"C2",NA,34.9247192092954
"C3",NA,34.8251988012696
"C4",NA,17.7667818641144
"C5",NA,18.1380797625804
"C6",NA,17.6848985726127
"C7",NA,14.0419223144335
"C8",NA,6.93740167374543
"C9",NA,21.0494835869359
"C10",NA,21.5460780647006
"C11",NA,21.165341959014
"C12",NA,27.7965708098795
"D1",NA,16.6500406020271
"D2",NA,16.7281791066088
"D3",NA,15.3857929861518
"D4",NA,19.1573163170842
"D5",NA,20.1876558955948
"D6",NA,17.4101810603084
"D7",NA,15.2247415426393
"D8",NA,14.6565802407587
"D9",NA,19.551139372032
"D10",NA,35.4319481398301
"D11",NA,6.88394451035427
"D12",NA,32.3193843580804
"E1",NA,17.9983397469938
"E2",NA,17.9059091380212
"E3",NA,18.1907264591464
"E4",NA,18.8529076757729
"E5",NA,8.31179534651241
"E6",NA,19.4268198165504
"E7",NA,14.9435040296639
"E8",NA,14.5462023776267
"E9",NA,15.1428560632285
"E10",NA,20.2976299883234
"E11",NA,6.00666985502945
"E12",NA,2.56963622294451
"F1",NA,24.1020536395685
"F2",NA,23.5368335172865
"F3",NA,18.2592046011439
"F4",NA,21.4009721702029
"F5",NA,13.3271779117878
"F6",NA,18.8865359473518
"F7",NA,15.4141387602709
"F8",NA,15.4449162023365
"F9",NA,15.5863590549259
"F10",NA,25.5916610482819
"F11",NA,25.8425328505099
"F12",NA,25.5470683593672
"G1",NA,23.9540532275412
"G2",NA,24.0055475634887
"G3",NA,22.1961612994811
"G4",NA,18.510577078075
"G5",NA,19.7369680568992
"G6",NA,18.7059835086271
"G7",NA,15.0836501095467
"G8",NA,15.0638256066324
"G9",NA,14.4993227018988
"G10",NA,25.1267925181461
"G11",NA,26.110040090243
"G12",NA,26.1418602392819
"H1",NA,3.19603402850201
"H2",NA,5.22219152994786
"H3",NA,24.0587679007509
"H4",NA,19.4249456111841
"H5",NA,16.3100084195524
"H6",NA,20.0180619741346
"H7",NA,15.3109752535973
"H8",NA,25.4200220169457
"H9",NA,15.8573803659993
"H10",NA,23.6632748963629
"H11",NA,25.0635223085486
"H12",NA,23.1264974420213
