"sample","Cq_raw","Cq_CPP"
"A1",NA,27.9767667778752
"A2",NA,34.8808810842588
"A3",NA,34.7534148222808
"A4",NA,18.6057199004164
"A5",NA,18.8202344414837
"A6",NA,18.8302770995207
"A7",NA,13.0797952545119
"A8",NA,11.8353187335596
"A9",NA,10.0614604232337
"A10",NA,3.88498417944808
"A11",NA,10.4418488574773
"A12",NA,3.14012083641467
"B1",NA,35.0285537827001
"B2",NA,35.0247954710594
"B3",NA,34.8815654328976
"B4",NA,20.0164140003567
"B5",NA,20.4028089306264
"B6",NA,20.0095467157007
"B7",NA,19.1634834104457
"B8",NA,19.1066054661165
"B9",NA,17.0603528057867
"B10",NA,30.1214734693753
"B11",NA,29.3428186687144
"B12",NA,15.9768246580307
"C1",NA,11.5644173461306
"C2",NA,12.6307793584222
"C3",NA,12.5982696528635
"C4",NA,19.1472811399919
"C5",NA,19.1951934185747
"C6",NA,19.325317255098
"C7",NA,13.4008841408078
"C8",NA,18.8639899096781
"C9",NA,19.5173387437324
"C10",NA,28.1296760303385
"C11",NA,14.547570191388
"C12",NA,3.63682312823376
"D1",NA,17.9396159752416
"D2",NA,17.9241949940776
"D3",NA,16.0722173332833
"D4",NA,19.8852346886479
"D5",NA,20.8285799016719
"D6",NA,20.5746627985406
"D7",NA,18.6942408941849
"D8",NA,18.3630001694313
"D9",NA,18.821244986976
"D10",NA,30.4546765078395
"D11",NA,30.9586141687098
"D12",NA,4.74249328810448
"E1",NA,19.2238284977336
"E2",NA,19.0364722091046
"E3",NA,19.2524554397197
"E4",NA,18.4643115185309
"E5",NA,19.9849423740196
"E6",NA,19.8825317117149
"E7",NA,16.0799414259588
"E8",NA,15.8872825413936
"E9",NA,16.1638187097613
"E10",NA,30.2675402208541
"E11",NA,30.3273642528638
"E12",NA,20.6446045501257
"F1",NA,24.7588892411813
"F2",NA,24.3239083472396
"F3",NA,19.3767863573262
"F4",NA,20.3707472970896
"F5",NA,19.2473334351602
"F6",NA,19.9913289776044
"F7",NA,16.455186816852
"F8",NA,16.550876479889
"F9",NA,16.4166118632503
"F10",NA,26.3297036932176
"F11",NA,26.5304721812816
"F12",NA,26.3131148583546
"G1",NA,24.9787635857748
"G2",NA,24.9432890693932
"G3",NA,23.0290751929854
"G4",NA,19.391577763196
"G5",NA,19.8538681647238
"G6",NA,19.5448530176748
"G7",NA,16.0625179651171
"G8",NA,16.2270580881935
"G9",NA,16.0443725112373
"G10",NA,25.9827763235968
"G11",NA,26.6815154142962
"G12",NA,26.893520304693
"H1",NA,24.1908091143025
"H2",NA,3.10775520782957
"H3",NA,24.888969651213
"H4",NA,10.7064512897983
"H5",NA,8.8659903122754
"H6",NA,19.7420604026202
"H7",NA,13.0045064299415
"H8",NA,17.5187921099818
"H9",NA,14.7906501575644
"H10",NA,24.2420017202201
"H11",NA,25.9241696050591
"H12",NA,25.0205884682549
