"sample","Cq_raw","Cq_CPP"
"A1",NA,3.42644166262149
"A2",NA,3.28145925073395
"A3",NA,3.9011684228097
"A4",NA,18.3676745494767
"A5",NA,19.1727050104627
"A6",NA,18.7372329713962
"A7",NA,18.8863374200626
"A8",NA,19.1534286629155
"A9",NA,8.20173501026522
"A10",NA,2.42292313628534
"A11",NA,2.52145264784603
"A12",NA,34.7705865977761
"B1",NA,34.5644186750881
"B2",NA,34.7034738307431
"B3",NA,35.1979447983443
"B4",NA,19.4830046023323
"B5",NA,19.906160838358
"B6",NA,19.7728044260198
"B7",NA,18.5102914636491
"B8",NA,18.270883418174
"B9",NA,18.2759208988674
"B10",NA,35.1334414583119
"B11",NA,35.1569364634939
"B12",NA,2.51335271872535
"C1",NA,35.2415033772041
"C2",NA,12.2548033984193
"C3",NA,36.2467355002056
"C4",NA,18.8496822932558
"C5",NA,19.1519659142357
"C6",NA,18.9582846764177
"C7",NA,17.8757054353134
"C8",NA,18.7404864109133
"C9",NA,18.6418009060161
"C10",NA,2.52514879895222
"C11",NA,2.91098069313551
"C12",NA,2.54137072287767
"D1",NA,17.3800277569746
"D2",NA,17.2585277355346
"D3",NA,15.9332784567695
"D4",NA,19.9797422643686
"D5",NA,19.9823903000462
"D6",NA,20.0442408525773
"D7",NA,17.6206438726106
"D8",NA,17.8781879759942
"D9",NA,18.1796579271251
"D10",NA,2.42247119417139
"D11",NA,2.68900525907055
"D12",NA,33.2006898987333
"E1",NA,18.5900645800275
"E2",NA,18.4674281617176
"E3",NA,18.6938440907785
"E4",NA,7.2512315573667
"E5",NA,18.4550659947027
"E6",NA,18.1763147104128
"E7",NA,18.2256897115783
"E8",NA,9.70511541091656
"E9",NA,18.1045147204321
"E10",NA,2.5215334123976
"E11",NA,33.6118591297648
"E12",NA,2.62757720898389
"F1",NA,24.3977068988203
"F2",NA,23.8891126183851
"F3",NA,17.9375759525146
"F4",NA,19.1838655861541
"F5",NA,18.9774150708313
"F6",NA,19.6087461114868
"F7",NA,18.0912331689059
"F8",NA,18.9042942321215
"F9",NA,18.4661871985573
"F10",NA,12.3637304453914
"F11",NA,3.54548772031585
"F12",NA,2.89472381783744
"G1",NA,24.2414316902225
"G2",NA,24.0360310872965
"G3",NA,21.9794652255025
"G4",NA,6.11560894212185
"G5",NA,15.1832404739481
"G6",NA,19.4461039936631
"G7",NA,17.9530356527827
"G8",NA,18.0985336306666
"G9",NA,4.76143289100472
"G10",NA,3.87047555070788
"G11",NA,3.64845214140398
"G12",NA,4.91065080948054
"H1",NA,2.61912237979692
"H2",NA,2.53446280840036
"H3",NA,24.6972242107197
"H4",NA,5.68971943550395
"H5",NA,18.9670002092468
"H6",NA,18.5252753125213
"H7",NA,35.0901907744904
"H8",NA,33.23798667437
"H9",NA,26.6629811929193
"H10",NA,2.77246218235636
"H11",NA,4.34482195617358
"H12",NA,2.71158342277973
