"sample","Cq_raw","Cq_CPP","Cq_inder"
"A1",NA,13.2700357107114,13.2700357107114
"A2",NA,13.3628058762042,13.3628058762042
"A3",NA,14.0268649277734,14.0268649277734
"A4",NA,1.26977573908014,1.26977573908014
"A5",NA,1.20737056300254,1.20737056300254
"A6",NA,1.29427489509895,1.29427489509895
"A7",NA,1.24797420915509,1.24797420915509
"A8",NA,1.14094289756725,1.14094289756725
"A9",NA,1.20064131431491,1.20064131431491
"A10",NA,1.17362069603707,1.17362069603707
"A11",NA,35.9484004714865,35.9484004714865
"A12",NA,35.9814502691061,35.9814502691061
"B1",NA,17.3037125535237,17.3037125535237
"B2",NA,18.1521784913416,18.1521784913416
"B3",NA,18.2219598738872,18.2219598738872
"B4",NA,14.4683261923423,14.4683261923423
"B5",NA,15.3140457576972,15.3140457576972
"B6",NA,15.2894903058185,15.2894903058185
"B7",NA,13.3056094953989,13.3056094953989
"B8",NA,19.486701269307,19.486701269307
"B9",NA,12.6150842184282,12.6150842184282
"B10",NA,13.3699423070923,13.3699423070923
"B11",NA,34.1470247297698,34.1470247297698
"B12",NA,36.5234209965657,36.5234209965657
"C1",NA,23.3210046642292,23.3210046642292
"C2",NA,24.6956795939999,24.6956795939999
"C3",NA,25.0099099558214,25.0099099558214
"C4",NA,12.9811119259951,12.9811119259951
"C5",NA,13.7993839463295,13.7993839463295
"C6",NA,16.8373411130196,16.8373411130196
"C7",NA,18.3157913365445,18.3157913365445
"C8",NA,14.2664451869801,14.2664451869801
"C9",NA,18.4066451425407,18.4066451425407
"C10",NA,15.466387078334,15.466387078334
"C11",NA,15.6972980856451,15.6972980856451
"C12",NA,12.8584376238159,12.8584376238159
"D1",NA,25.0972083979441,25.0972083979441
"D2",NA,26.4643303971043,26.4643303971043
"D3",NA,26.5030828546065,26.5030828546065
"D4",NA,NA,NA
"D5",NA,8.90333340153269,8.90333340153269
"D6",NA,1.60239668400774,1.60239668400774
"D7",NA,NA,NA
"D8",NA,20.0694578308687,20.0694578308687
"D9",NA,NA,NA
"D10",NA,16.2334942504724,16.2334942504724
"D11",NA,16.4577629452148,16.4577629452148
"D12",NA,14.5732552253561,14.5732552253561
"E1",NA,27.5472465588879,27.5472465588879
"E2",NA,28.9006771955197,28.9006771955197
"E3",NA,29.0529180295919,29.0529180295919
"E4",NA,17.3298485888564,17.3298485888564
"E5",NA,17.8878404341377,17.8878404341377
"E6",NA,15.6681837379288,15.6681837379288
"E7",NA,14.978059245993,14.978059245993
"E8",NA,14.8415498047407,14.8415498047407
"E9",NA,13.3185099574635,13.3185099574635
"E10",NA,16.2072536555367,16.2072536555367
"E11",NA,16.3331423539395,16.3331423539395
"E12",NA,15.900726477469,15.900726477469
"F1",NA,21.9640894505251,21.9640894505251
"F2",NA,30.277807588387,30.277807588387
"F3",NA,30.3905601429419,30.3905601429419
"F4",NA,15.574953787376,15.574953787376
"F5",NA,13.7011866283858,13.7011866283858
"F6",NA,19.1958375879283,19.1958375879283
"F7",NA,15.805179508446,15.805179508446
"F8",NA,15.7274561588428,15.7274561588428
"F9",NA,15.5798993110639,15.5798993110639
"F10",NA,18.3268909068317,18.3268909068317
"F11",NA,18.7563692346885,18.7563692346885
"F12",NA,17.0555792820735,17.0555792820735
"G1",NA,36.0196585246843,36.0196585246843
"G2",NA,10.4423170945415,10.4423170945415
"G3",NA,8.69254981297369,8.69254981297369
"G4",NA,15.8341049738255,15.8341049738255
"G5",NA,12.2964270939472,12.2964270939472
"G6",NA,8.86119500273834,8.86119500273834
"G7",NA,14.4939043520816,14.4939043520816
"G8",NA,14.7306550496163,14.7306550496163
"G9",NA,15.0793350601731,15.0793350601731
"G10",NA,18.3501420385591,18.3501420385591
"G11",NA,18.476209064896,18.476209064896
"G12",NA,17.4581400653436,17.4581400653436
"H1",NA,36.1842405678965,36.1842405678965
"H2",NA,1.11708335679677,1.11708335679677
"H3",NA,36.5981637539971,36.5981637539971
"H4",NA,12.6556051478683,12.6556051478683
"H5",NA,1.72783840325678,1.72783840325678
"H6",NA,1.56311820878749,1.56311820878749
"H7",NA,16.3099113516874,16.3099113516874
"H8",NA,14.609400632054,14.609400632054
"H9",NA,15.1117589211063,15.1117589211063
"H10",NA,15.2949604642538,15.2949604642538
"H11",NA,15.0761916837582,15.0761916837582
"H12",NA,16.0721805888764,16.0721805888764
