"sample","Cq_raw","Cq_CPP","Cq_inder"
"A1",NA,15.9337946266403,15.9337946266403
"A2",NA,15.9139882596048,15.9139882596048
"A3",NA,16.3832589926173,16.3832589926173
"A4",NA,13.3115191743824,13.3115191743824
"A5",NA,14.2458641568049,14.2458641568049
"A6",NA,5.3487750698091,5.3487750698091
"A7",NA,13.6961785783727,13.6961785783727
"A8",NA,13.1550645556975,13.1550645556975
"A9",NA,11.5075779798813,11.5075779798813
"A10",NA,17.3230627209196,17.3230627209196
"A11",NA,12.790688895153,12.790688895153
"A12",NA,10.4407261505574,10.4407261505574
"B1",NA,19.7008196156067,19.7008196156067
"B2",NA,20.0956531504785,20.0956531504785
"B3",NA,19.8413545650387,19.8413545650387
"B4",NA,14.943756607083,14.943756607083
"B5",NA,15.1843720461629,15.1843720461629
"B6",NA,15.4895820236493,15.4895820236493
"B7",NA,14.1619315405671,14.1619315405671
"B8",NA,14.0349152885724,14.0349152885724
"B9",NA,16.2517429310027,16.2517429310027
"B10",NA,17.7786834616326,17.7786834616326
"B11",NA,17.6621486832924,17.6621486832924
"B12",NA,12.3167685661367,12.3167685661367
"C1",NA,23.9708299890055,23.9708299890055
"C2",NA,25.1735335341148,25.1735335341148
"C3",NA,25.2100940672911,25.2100940672911
"C4",NA,15.1384079321399,15.1384079321399
"C5",NA,8.38071444460099,8.38071444460099
"C6",NA,15.4525055715462,15.4525055715462
"C7",NA,13.8526427552025,13.8526427552025
"C8",NA,13.3895407020507,13.3895407020507
"C9",NA,13.1608415234101,13.1608415234101
"C10",NA,14.9826870799942,14.9826870799942
"C11",NA,14.791551260478,14.791551260478
"C12",NA,13.1985365613058,13.1985365613058
"D1",NA,28.0843695137194,28.0843695137194
"D2",NA,28.845106144368,28.845106144368
"D3",NA,28.8440915037325,28.8440915037325
"D4",NA,16.1228292525434,16.1228292525434
"D5",NA,16.5961377176195,16.5961377176195
"D6",NA,16.2753066560314,16.2753066560314
"D7",NA,36.3384963590285,36.3384963590285
"D8",NA,36.3799193555249,36.3799193555249
"D9",NA,11.7652718750506,11.7652718750506
"D10",NA,13.6970949823436,13.6970949823436
"D11",NA,12.1436583400434,12.1436583400434
"D12",NA,13.8039645237558,13.8039645237558
"E1",NA,30.6572655559342,30.6572655559342
"E2",NA,30.4660450205399,30.4660450205399
"E3",NA,31.7949423022673,31.7949423022673
"E4",NA,15.3365164687075,15.3365164687075
"E5",NA,14.1753002800074,14.1753002800074
"E6",NA,15.1083186065602,15.1083186065602
"E7",NA,17.4840367549558,17.4840367549558
"E8",NA,17.6781120167809,17.6781120167809
"E9",NA,17.7200017906664,17.7200017906664
"E10",NA,7.43708571254632,7.43708571254632
"E11",NA,14.1064305003327,14.1064305003327
"E12",NA,14.359061843888,14.359061843888
"F1",NA,30.2422698446148,30.2422698446148
"F2",NA,31.8248545277726,31.8248545277726
"F3",NA,31.1835733737439,31.1835733737439
"F4",NA,14.9652954061615,14.9652954061615
"F5",NA,14.616264985399,14.616264985399
"F6",NA,15.2096017819704,15.2096017819704
"F7",NA,17.4660504503537,17.4660504503537
"F8",NA,17.2527069863483,17.2527069863483
"F9",NA,17.6647226381648,17.6647226381648
"F10",NA,12.6575217593815,12.6575217593815
"F11",NA,8.62488985661885,8.62488985661885
"F12",NA,13.889150740322,13.889150740322
"G1",NA,28.4292286120141,28.4292286120141
"G2",NA,31.4085207961972,31.4085207961972
"G3",NA,32.1471091242711,32.1471091242711
"G4",NA,11.5330746001036,11.5330746001036
"G5",NA,13.5564767644045,13.5564767644045
"G6",NA,13.6517256620729,13.6517256620729
"G7",NA,17.5320699673903,17.5320699673903
"G8",NA,17.6428792632207,17.6428792632207
"G9",NA,18.1975525744841,18.1975525744841
"G10",NA,7.09077367397656,7.09077367397656
"G11",NA,16.1942872469079,16.1942872469079
"G12",NA,5.04271821462299,5.04271821462299
"H1",NA,3.13477048775781,3.13477048775781
"H2",NA,32.4742104665474,32.4742104665474
"H3",NA,24.2962173550112,24.2962173550112
"H4",NA,14.29600904366,14.29600904366
"H5",NA,11.7656738309458,11.7656738309458
"H6",NA,12.1936230936807,12.1936230936807
"H7",NA,17.3286843329135,17.3286843329135
"H8",NA,17.3149917554154,17.3149917554154
"H9",NA,17.7458652660913,17.7458652660913
"H10",NA,16.1504564714408,16.1504564714408
"H11",NA,3.00041438155533,3.00041438155533
"H12",NA,16.0253803535812,16.0253803535812
