"sample","Cq_raw","Cq_CPP","Cq_inder"
"A1",NA,15.0124562193319,15.0124562193319
"A2",NA,14.9834005016774,14.9834005016774
"A3",NA,11.022111837594,11.022111837594
"A4",NA,14.5950502536156,14.5950502536156
"A5",NA,14.8951416131819,14.8951416131819
"A6",NA,15.2854107301735,15.2854107301735
"A7",NA,13.0967007555472,13.0967007555472
"A8",NA,13.1199314326568,13.1199314326568
"A9",NA,13.2939722383746,13.2939722383746
"A10",NA,1.18352064911458,1.18352064911458
"A11",NA,2.13419888120572,2.13419888120572
"A12",NA,35.9212326942867,35.9212326942867
"B1",NA,18.1464793603128,18.1464793603128
"B2",NA,18.0557455524481,18.0557455524481
"B3",NA,18.1479298454767,18.1479298454767
"B4",NA,16.1134982421686,16.1134982421686
"B5",NA,16.4192938596274,16.4192938596274
"B6",NA,16.9085399135942,16.9085399135942
"B7",NA,13.5004195954222,13.5004195954222
"B8",NA,14.5183260266456,14.5183260266456
"B9",NA,12.8420929437256,12.8420929437256
"B10",NA,15.3965411749792,15.3965411749792
"B11",NA,21.1201537105503,21.1201537105503
"B12",NA,12.1335538174843,12.1335538174843
"C1",NA,22.9739108315851,22.9739108315851
"C2",NA,23.9987849175859,23.9987849175859
"C3",NA,23.7780488392952,23.7780488392952
"C4",NA,14.607503945626,14.607503945626
"C5",NA,14.907018846339,14.907018846339
"C6",NA,13.3984769671613,13.3984769671613
"C7",NA,13.4805324405545,13.4805324405545
"C8",NA,14.6962047829512,14.6962047829512
"C9",NA,38.3823117578029,38.3823117578029
"C10",NA,16.7103903112377,16.7103903112377
"C11",NA,5.15216102808379,5.15216102808379
"C12",NA,13.0586018022728,13.0586018022728
"D1",NA,27.6548032398679,27.6548032398679
"D2",NA,28.070670393754,28.070670393754
"D3",NA,27.9555830718184,27.9555830718184
"D4",NA,16.4894709074916,16.4894709074916
"D5",NA,12.8326845274264,12.8326845274264
"D6",NA,8.92024992600319,8.92024992600319
"D7",NA,14.069760995309,14.069760995309
"D8",NA,13.7560117465311,13.7560117465311
"D9",NA,14.0801083046247,14.0801083046247
"D10",NA,17.241977697821,17.241977697821
"D11",NA,16.1719458539154,16.1719458539154
"D12",NA,13.1121063450062,13.1121063450062
"E1",NA,31.0496235503637,31.0496235503637
"E2",NA,30.4935684889308,30.4935684889308
"E3",NA,30.9949693203781,30.9949693203781
"E4",NA,16.0090315354735,16.0090315354735
"E5",NA,16.1542841473494,16.1542841473494
"E6",NA,15.7111173437149,15.7111173437149
"E7",NA,16.2778576833283,16.2778576833283
"E8",NA,16.4323766191185,16.4323766191185
"E9",NA,16.7395826388279,16.7395826388279
"E10",NA,19.3703437068616,19.3703437068616
"E11",NA,20.5601768105604,20.5601768105604
"E12",NA,10.8853647823751,10.8853647823751
"F1",NA,31.7307626198467,31.7307626198467
"F2",NA,31.4300517767952,31.4300517767952
"F3",NA,31.4127441207049,31.4127441207049
"F4",NA,16.4769464037387,16.4769464037387
"F5",NA,16.1388659912196,16.1388659912196
"F6",NA,17.0508895008013,17.0508895008013
"F7",NA,16.6062382511519,16.6062382511519
"F8",NA,16.2587117433554,16.2587117433554
"F9",NA,12.2690769567086,12.2690769567086
"F10",NA,11.6977597244585,11.6977597244585
"F11",NA,15.8295433791184,15.8295433791184
"F12",NA,16.0411902465523,16.0411902465523
"G1",NA,1.84060267131484,1.84060267131484
"G2",NA,35.9934093603659,35.9934093603659
"G3",NA,35.7327628362945,35.7327628362945
"G4",NA,14.219334023594,14.219334023594
"G5",NA,13.4110261328168,13.4110261328168
"G6",NA,14.7335572561101,14.7335572561101
"G7",NA,13.8024383899553,13.8024383899553
"G8",NA,16.9698977528454,16.9698977528454
"G9",NA,13.0013467159183,13.0013467159183
"G10",NA,15.5101683438261,15.5101683438261
"G11",NA,36.3306871690349,36.3306871690349
"G12",NA,36.2774104296016,36.2774104296016
"H1",NA,36.575760693879,36.575760693879
"H2",NA,1.67461929449245,1.67461929449245
"H3",NA,36.4109680926901,36.4109680926901
"H4",NA,13.1631419979722,13.1631419979722
"H5",NA,13.1277142569249,13.1277142569249
"H6",NA,14.627922176447,14.627922176447
"H7",NA,11.2277203808684,11.2277203808684
"H8",NA,15.0451360381668,15.0451360381668
"H9",NA,15.0737995974202,15.0737995974202
"H10",NA,36.3316945030646,36.3316945030646
"H11",NA,NA,NA
"H12",NA,35.3893151147427,35.3893151147427
