"sample","Cq_raw","Cq_CPP","Cq_inder"
"A1",NA,36.2140269948299,36.2140269948299
"A2",NA,36.2879504290917,36.2879504290917
"A3",NA,36.2005751792068,36.2005751792068
"A4",NA,17.0377151314862,17.0377151314862
"A5",NA,17.5182859367892,17.5182859367892
"A6",NA,17.1379270625418,17.1379270625418
"A7",NA,18.9740201761722,18.9740201761722
"A8",NA,10.4927465445235,10.4927465445235
"A9",NA,2.60100028768524,2.60100028768524
"A10",NA,1.70758494843856,1.70758494843856
"A11",NA,1.13029416001324,1.13029416001324
"A12",NA,35.772389979601,35.772389979601
"B1",NA,36.4254614972895,36.4254614972895
"B2",NA,36.2406997351851,36.2406997351851
"B3",NA,36.378476532755,36.378476532755
"B4",NA,19.0192665846594,19.0192665846594
"B5",NA,18.1934577763067,18.1934577763067
"B6",NA,17.1952205776482,17.1952205776482
"B7",NA,21.027425592801,21.027425592801
"B8",NA,20.3093657862618,20.3093657862618
"B9",NA,19.4094660286954,19.4094660286954
"B10",NA,15.7099584854137,15.7099584854137
"B11",NA,20.6282168988821,20.6282168988821
"B12",NA,31.8252941540327,31.8252941540327
"C1",NA,36.347269072525,36.347269072525
"C2",NA,36.2186779946029,36.2186779946029
"C3",NA,36.2646436090124,36.2646436090124
"C4",NA,17.8727190974744,17.8727190974744
"C5",NA,18.1553646451985,18.1553646451985
"C6",NA,17.7480210783807,17.7480210783807
"C7",NA,16.9584408187137,16.9584408187137
"C8",NA,10.7171058720959,10.7171058720959
"C9",NA,21.2523940068418,21.2523940068418
"C10",NA,21.8693491222805,21.8693491222805
"C11",NA,28.7330443492266,28.7330443492266
"C12",NA,27.5389916286851,27.5389916286851
"D1",NA,16.6591941533773,16.6591941533773
"D2",NA,16.7333499145829,16.7333499145829
"D3",NA,15.3422190045252,15.3422190045252
"D4",NA,19.1123016569615,19.1123016569615
"D5",NA,20.460683407363,20.460683407363
"D6",NA,17.6202755967797,17.6202755967797
"D7",NA,14.796322535525,14.796322535525
"D8",NA,14.4264305156254,14.4264305156254
"D9",NA,19.6934452698275,19.6934452698275
"D10",NA,35.8552912127,35.8552912127
"D11",NA,3.53716402728987,3.53716402728987
"D12",NA,32.417281444538,32.417281444538
"E1",NA,17.9484071465367,17.9484071465367
"E2",NA,17.9423511997063,17.9423511997063
"E3",NA,18.1960033938226,18.1960033938226
"E4",NA,18.6671342175005,18.6671342175005
"E5",NA,12.541223122124,12.541223122124
"E6",NA,19.5752089353449,19.5752089353449
"E7",NA,14.8937936621264,14.8937936621264
"E8",NA,14.3868181767135,14.3868181767135
"E9",NA,15.1769335203764,15.1769335203764
"E10",NA,1.38387490280782,1.38387490280782
"E11",NA,11.6209803976064,11.6209803976064
"E12",NA,1.29559124813403,1.29559124813403
"F1",NA,24.1277267112245,24.1277267112245
"F2",NA,23.586789640539,23.586789640539
"F3",NA,18.2895150753392,18.2895150753392
"F4",NA,21.6501646479597,21.6501646479597
"F5",NA,4.78471900050631,4.78471900050631
"F6",NA,19.1504447757969,19.1504447757969
"F7",NA,15.443915478643,15.443915478643
"F8",NA,15.4245890648412,15.4245890648412
"F9",NA,15.5902742556174,15.5902742556174
"F10",NA,25.6501265443622,25.6501265443622
"F11",NA,25.8878077417096,25.8878077417096
"F12",NA,25.468383268188,25.468383268188
"G1",NA,23.549276455289,23.549276455289
"G2",NA,24.0635712085778,24.0635712085778
"G3",NA,22.2286243132558,22.2286243132558
"G4",NA,18.6249777966541,18.6249777966541
"G5",NA,19.7832969799655,19.7832969799655
"G6",NA,18.8307910856542,18.8307910856542
"G7",NA,15.0898740838616,15.0898740838616
"G8",NA,15.1074837433972,15.1074837433972
"G9",NA,14.5495877472065,14.5495877472065
"G10",NA,25.1789263270719,25.1789263270719
"G11",NA,26.1681636736638,26.1681636736638
"G12",NA,26.0808590288773,26.0808590288773
"H1",NA,2.08465879114956,2.08465879114956
"H2",NA,4.4324473447724,4.4324473447724
"H3",NA,24.0291377458082,24.0291377458082
"H4",NA,19.5794608040526,19.5794608040526
"H5",NA,16.469401581235,16.469401581235
"H6",NA,19.5290973962343,19.5290973962343
"H7",NA,15.057134043373,15.057134043373
"H8",NA,26.1203750202846,26.1203750202846
"H9",NA,21.7040878692013,21.7040878692013
"H10",NA,23.706479309193,23.706479309193
"H11",NA,25.1289703567696,25.1289703567696
"H12",NA,21.9368004370434,21.9368004370434
