samples,mix,day,strain,s9,dose,dose_value,n,mean_rev,sd_rev,se_rev
abiotic,1,14,TA98,yes,d,5,2,26.5,3.5355339059327378,2.5
abiotic,2,0,TA100,no,a,50,2,43.5,0.7071067811865476,0.5
abiotic,2,0,TA100,no,b,25,2,53,2.8284271247461903,2
abiotic,2,0,TA100,no,c,13,2,45,0,0
abiotic,2,0,TA100,no,d,5,2,53,11.313708498984761,8
abiotic,2,0,TA100,yes,a,50,2,33,8.48528137423857,5.999999999999999
abiotic,2,0,TA100,yes,b,25,2,37,4.242640687119285,2.9999999999999996
abiotic,2,0,TA100,yes,c,13,2,34.5,2.1213203435596424,1.4999999999999998
abiotic,2,0,TA100,yes,d,5,2,16.5,0.7071067811865476,0.5
abiotic,2,0,TA98,no,a,50,2,24.5,2.1213203435596424,1.4999999999999998
abiotic,2,0,TA98,no,b,25,2,23.5,9.192388155425117,6.499999999999999
abiotic,2,0,TA98,no,c,13,2,23,5.656854249492381,4
abiotic,2,0,TA98,no,d,5,2,25.5,0.7071067811865476,0.5
abiotic,2,0,TA98,yes,a,50,2,42.5,6.363961030678928,4.5
abiotic,2,0,TA98,yes,b,25,2,38,1.4142135623730951,1
abiotic,2,0,TA98,yes,c,13,2,40.5,6.363961030678928,4.5
abiotic,2,0,TA98,yes,d,5,2,47,5.656854249492381,4
abiotic,2,7,TA100,no,a,50,2,47,1.4142135623730951,1
abiotic,2,7,TA100,no,b,25,2,62,4.242640687119285,2.9999999999999996
abiotic,2,7,TA100,no,c,13,2,49.5,3.5355339059327378,2.5
abiotic,2,7,TA100,no,d,5,2,54.5,4.949747468305833,3.4999999999999996
abiotic,2,7,TA100,yes,a,50,2,20,1.4142135623730951,1
abiotic,2,7,TA100,yes,b,25,2,38.5,14.849242404917497,10.499999999999998
abiotic,2,7,TA100,yes,c,13,2,27,0,0
abiotic,2,7,TA100,yes,d,5,2,19,1.4142135623730951,1
abiotic,2,7,TA98,no,a,50,2,26,2.8284271247461903,2
abiotic,2,7,TA98,no,b,25,2,19.5,0.7071067811865476,0.5
abiotic,2,7,TA98,no,c,13,2,28,5.656854249492381,4
abiotic,2,7,TA98,no,d,5,2,24,7.0710678118654755,5
abiotic,2,7,TA98,yes,a,50,2,39,8.48528137423857,5.999999999999999
abiotic,2,7,TA98,yes,b,25,2,54,11.313708498984761,8
abiotic,2,7,TA98,yes,c,13,2,44,1.4142135623730951,1
abiotic,2,7,TA98,yes,d,5,2,39,8.48528137423857,5.999999999999999
abiotic,2,14,TA100,no,a,50,2,56.5,4.949747468305833,3.4999999999999996
abiotic,2,14,TA100,no,b,25,2,66,8.48528137423857,5.999999999999999
abiotic,2,14,TA100,no,c,13,2,66.5,2.1213203435596424,1.4999999999999998
abiotic,2,14,TA100,no,d,5,2,58,11.313708498984761,8
abiotic,2,14,TA100,yes,a,50,2,39,1.4142135623730951,1
abiotic,2,14,TA100,yes,b,25,2,42.5,2.1213203435596424,1.4999999999999998
abiotic,2,14,TA100,yes,c,13,2,37,8.48528137423857,5.999999999999999
abiotic,2,14,TA100,yes,d,5,2,37.5,4.949747468305833,3.4999999999999996
abiotic,2,14,TA98,no,a,50,2,22,5.656854249492381,4
abiotic,2,14,TA98,no,b,25,2,15.5,0.7071067811865476,0.5
abiotic,2,14,TA98,no,c,13,2,21.5,9.192388155425117,6.499999999999999
abiotic,2,14,TA98,no,d,5,2,28,9.899494936611665,6.999999999999999
abiotic,2,14,TA98,yes,a,50,2,34,2.8284271247461903,2
abiotic,2,14,TA98,yes,b,25,2,0,0,0
abiotic,2,14,TA98,yes,c,13,2,33,4.242640687119285,2.9999999999999996
abiotic,2,14,TA98,yes,d,5,2,34,4.242640687119285,2.9999999999999996
biotic,1,3,TA100,no,a,50,2,45.5,3.5355339059327378,2.5
biotic,1,3,TA100,no,b,25,2,63,8.48528137423857,5.999999999999999
biotic,1,3,TA100,no,c,13,2,67,2.8284271247461903,2
biotic,1,3,TA100,no,d,5,2,62,7.0710678118654755,5
biotic,1,3,TA100,yes,a,50,2,43,5.656854249492381,4
biotic,1,3,TA100,yes,b,25,2,39,4.242640687119285,2.9999999999999996
biotic,1,3,TA100,yes,c,13,2,34.5,2.1213203435596424,1.4999999999999998
biotic,1,3,TA100,yes,d,5,2,37,8.48528137423857,5.999999999999999
biotic,1,3,TA98,no,a,50,2,11.5,0.7071067811865476,0.5
biotic,1,3,TA98,no,b,25,2,21.5,4.949747468305833,3.4999999999999996
biotic,1,3,TA98,no,c,13,2,16,2.8284271247461903,2
biotic,1,3,TA98,no,d,5,2,12,0,0
biotic,1,3,TA98,yes,a,50,2,27.5,0.7071067811865476,0.5
biotic,1,3,TA98,yes,b,25,2,34.5,7.7781745930520225,5.499999999999999
biotic,1,3,TA98,yes,c,13,2,37,0,0
biotic,1,3,TA98,yes,d,5,2,30,5.656854249492381,4
biotic,1,7,TA100,no,a,50,2,75,14.142135623730951,10
biotic,1,7,TA100,no,b,25,2,62.5,6.363961030678928,4.5
biotic,1,7,TA100,no,c,13,2,54.5,7.7781745930520225,5.499999999999999
biotic,1,7,TA100,no,d,5,2,59.5,4.949747468305833,3.4999999999999996
biotic,1,7,TA100,yes,a,50,2,0,0,0
biotic,1,7,TA100,yes,b,25,2,34,2.8284271247461903,2
biotic,1,7,TA100,yes,c,13,2,34.5,0.7071067811865476,0.5
biotic,1,7,TA100,yes,d,5,2,38,4.242640687119285,2.9999999999999996
biotic,1,7,TA98,no,a,50,2,15.5,4.949747468305833,3.4999999999999996
biotic,1,7,TA98,no,b,25,2,18,4.242640687119285,2.9999999999999996
biotic,1,7,TA98,no,c,13,2,16.5,6.363961030678928,4.5
biotic,1,7,TA98,no,d,5,2,15.5,3.5355339059327378,2.5
biotic,1,7,TA98,yes,a,50,2,34.5,4.949747468305833,3.4999999999999996
biotic,1,7,TA98,yes,b,25,2,41,5.656854249492381,4
biotic,1,7,TA98,yes,c,13,2,34.5,6.363961030678928,4.5
biotic,1,7,TA98,yes,d,5,2,42.5,6.363961030678928,4.5
biotic,1,14,TA100,no,a,50,2,55,16.97056274847714,11.999999999999998
biotic,1,14,TA100,no,b,25,2,65.5,3.5355339059327378,2.5
biotic,1,14,TA100,no,c,13,2,74.5,4.949747468305833,3.4999999999999996
biotic,1,14,TA100,no,d,5,2,61.5,4.949747468305833,3.4999999999999996
biotic,1,14,TA100,yes,a,50,2,36.5,4.949747468305833,3.4999999999999996
biotic,1,14,TA100,yes,b,25,2,33.5,4.949747468305833,3.4999999999999996
biotic,1,14,TA100,yes,c,13,2,42,7.0710678118654755,5
biotic,1,14,TA100,yes,d,5,2,44.5,3.5355339059327378,2.5
biotic,1,14,TA98,no,a,50,2,13.5,2.1213203435596424,1.4999999999999998
biotic,1,14,TA98,no,b,25,2,22,2.8284271247461903,2
biotic,1,14,TA98,no,c,13,2,9.5,0.7071067811865476,0.5
biotic,1,14,TA98,no,d,5,2,9.5,0.7071067811865476,0.5
biotic,1,14,TA98,yes,a,50,2,37,4.242640687119285,2.9999999999999996
biotic,1,14,TA98,yes,b,25,2,31.5,6.363961030678928,4.5
biotic,1,14,TA98,yes,c,13,2,32,7.0710678118654755,5
biotic,1,14,TA98,yes,d,5,2,27.5,0.7071067811865476,0.5
biotic,2,3,TA100,no,a,50,2,60,12.727922061357855,9
biotic,2,3,TA100,no,b,25,2,60,1.4142135623730951,1
biotic,2,3,TA100,no,c,13,2,54.5,2.1213203435596424,1.4999999999999998
biotic,2,3,TA100,no,d,5,2,69,2.8284271247461903,2
biotic,2,3,TA100,yes,a,50,2,36,0,0
